# T(day)	RV_Pri	RV_Sec
7059.98328791	-34.30956860	43.11766480
7062.09756672	73.84991830	-70.36140460
7109.99553223	-70.98567590	81.59760440
7114.96169608	81.65857290	-78.55411040
7143.97342505	88.06231590	-85.27280720
7144.97758010	92.35820140	-89.77997620
7363.30163762	-87.87147100	99.31388960
7364.28565556	-72.05367500	82.71813070
