# WV(Ang)	Flux_Pri	Flux_Sec
5141.02244569	1.01834187	0.37969670
5141.05156637	1.03548292	0.40715128
5141.08068722	1.03303201	0.42842936
5141.10980823	1.01377957	0.46672440
5141.13881103	1.00187853	0.49943834
5141.16793237	1.02785302	0.50658296
5141.19705387	1.02403280	0.46433822
5141.22617554	1.01073323	0.50877684
5141.25517900	1.01444819	0.51346909
5141.28430100	1.00019476	0.55125093
5141.31342316	0.99486552	0.59836528
5141.34254549	0.97681586	0.60905298
5141.37154960	0.98579330	0.60826912
5141.40067226	0.98749422	0.69840046
5141.42979508	0.98384240	0.64286022
5141.45879968	0.96848767	0.64198928
5141.48792283	0.97387406	0.68207862
5141.51704615	0.98324149	0.71849036
5141.54616963	0.98771722	0.72449487
5141.57517489	1.00268649	0.74607716
5141.60429870	1.01759435	0.70674818
5141.63342268	1.02371470	0.64698996
5141.66254682	1.02550091	0.71132796
5141.69155274	1.04677441	0.73011576
5141.72067721	1.06628708	0.73992499
5141.74980184	1.07043044	0.69853766
5141.77892665	1.05431261	0.70994185
5141.80793322	1.06424474	0.74507813
5141.83705835	1.06884570	0.75334305
5141.86618364	1.10164870	0.75678206
5141.89530910	1.10940029	0.70619269
5141.92431633	1.10008861	0.74653030
5141.95344212	1.11087212	0.73579393
5141.98256807	1.09810377	0.74275883
5142.01157579	1.09444061	0.76605324
5142.04070208	1.09945079	0.75060794
5142.06982853	1.12497631	0.78640098
5142.09895514	1.09810332	0.75836128
5142.12796352	1.07056215	0.76213058
5142.15709046	1.07208208	0.77856517
5142.18621757	1.08551145	0.77889247
5142.21534484	1.07905720	0.74504973
5142.24435388	1.06272810	0.77111511
5142.27348148	1.04904377	0.78589494
5142.30260924	1.05356048	0.77421769
5142.33173718	1.03914228	0.72039631
5142.36074687	1.02620680	0.72285253
5142.38987513	1.00994034	0.74555864
5142.41900356	1.03021331	0.74724207
5142.44801374	1.05042631	0.69075673
5142.47714249	1.03532151	0.70189057
5142.50627141	1.04634872	0.71927938
5142.53540050	1.06181322	0.67884184
5142.56441134	1.04849482	0.69395522
5142.59354075	1.04861424	0.74796517
5142.62267033	1.03351600	0.71481255
5142.65180008	1.01400796	0.68117808
5142.68081158	1.03666362	0.70793298
5142.70994165	1.03230052	0.72427791
5142.73907189	1.06065909	0.75822079
5142.76820229	1.05237922	0.69486169
5142.79721445	1.05183905	0.69691750
5142.82634518	1.03874498	0.66759357
5142.85547608	1.03484164	0.62907726
5142.88460714	1.02113905	0.61172388
5142.91361995	1.01651070	0.60588446
5142.94275134	1.04076853	0.63653927
5142.97188290	1.03453286	0.63132240
5143.00089620	1.01232440	0.60578044
5143.03002809	1.03950401	0.61653817
5143.05916014	1.03765294	0.56995707
5143.08829236	1.04106922	0.55696072
5143.11730632	1.04951062	0.61055238
5143.14643887	1.04816661	0.62177136
5143.17557158	1.05431293	0.59288773
5143.20470446	1.04767518	0.60663194
5143.23371907	1.05981426	0.65510271
5143.26285228	1.09103110	0.66691899
5143.29198565	1.07415553	0.72401197
5143.32111919	1.07203989	0.71172917
5143.35013446	1.08857392	0.72509684
5143.37926832	1.03948868	0.74124873
5143.40840235	1.05068225	0.71215057
5143.43753655	1.04861273	0.76367895
5143.46655248	1.05003517	0.79434021
5143.49568700	1.03622475	0.74659680
5143.52482169	1.03815504	0.75314288
5143.55383811	1.06040516	0.74073812
5143.58297313	1.03824136	0.74456015
5143.61210832	1.05121243	0.75434895
5143.64124367	1.02442388	0.75614273
5143.67026075	1.00887034	0.71824698
5143.69939642	1.03925767	0.72301880
5143.72853227	1.04115106	0.69830592
5143.75766828	1.01867943	0.66545956
5143.78668601	1.03661773	0.68029561
5143.81582235	1.01957165	0.66820012
5143.84495885	1.03147438	0.67026936
5143.87409552	1.05917567	0.63488138
5143.90311391	1.03412495	0.62609550
5143.93225091	0.97249499	0.64650989
5143.96138808	0.96896628	0.60930501
5143.99040696	0.98394087	0.61373579
5144.01954445	0.98940592	0.59453803
5144.04868211	0.97692320	0.58945567
5144.07781993	1.01823214	0.57794154
5144.10683947	1.02830267	0.56241084
5144.13597762	1.01347477	0.54531645
5144.16511594	1.02213131	0.51611657
5144.19425442	1.00477424	0.59021750
5144.22327462	1.01527032	0.60166921
5144.25241343	1.02288349	0.58644050
5144.28155241	1.03351453	0.57859447
5144.31069155	1.03165322	0.62946439
5144.33971240	1.03764904	0.63600817
5144.36885188	1.05573990	0.67212768
5144.39799151	1.05841874	0.70823262
5144.42713131	1.04439811	0.64382259
5144.45615282	1.08480930	0.68687270
5144.48529295	1.05208122	0.71766564
5144.51443325	1.05789816	0.67920263
5144.54345525	1.06025157	0.66610862
5144.57259588	1.07835328	0.70488253
5144.60173667	1.05795738	0.66486551
5144.63087762	1.06908475	0.69377309
5144.65990029	1.07239769	0.68761150
5144.68904157	1.04655380	0.64050091
5144.71818302	1.06152617	0.68194844
5144.74732463	1.07168560	0.66631799
5144.77634795	1.07502457	0.59295747
5144.80548990	1.06525406	0.63924825
5144.83463201	1.06849830	0.64228580
5144.86377428	1.09112167	0.63388828
5144.89279825	1.11290575	0.68074671
5144.92194086	1.12556584	0.76704668
5144.95108363	1.11729573	0.77290956
5144.98022656	1.11163623	0.78453782
5145.00925119	1.11581568	0.81290690
5145.03839446	1.10130556	0.83728657
5145.06753789	1.12886550	0.78062242
5145.09656301	1.10946210	0.75069025
5145.12570677	1.08089549	0.77247687
5145.15485069	1.11528063	0.84570996
5145.18399478	1.13037748	0.83252253
5145.21302056	1.13171274	0.79302671
5145.24216498	1.15011126	0.82210848
5145.27130956	1.16486254	0.85585261
5145.30045431	1.15754170	0.86371778
5145.32948075	1.16921125	0.80934263
5145.35862582	1.16686693	0.80538393
5145.38777107	1.18569412	0.75075925
5145.41691647	1.19482482	0.79191236
5145.44594357	1.20513094	0.76621808
5145.47508931	1.19890486	0.74087081
5145.50423521	1.17071132	0.79921693
5145.53326280	1.15899733	0.75222442
5145.56240903	1.16039718	0.77097535
5145.59155542	1.17580859	0.78321610
5145.62070199	1.13497363	0.82204933
5145.64973023	1.13426332	0.83585713
5145.67887712	1.11655461	0.84334882
5145.70802418	1.12000904	0.81133765
5145.73717140	1.13850478	0.82586338
5145.76620030	1.13056471	0.80033218
5145.79534785	1.14497276	0.80474056
5145.82449557	1.14061486	0.77868438
5145.85364345	1.12772595	0.80680913
5145.88267301	1.10855208	0.77657049
5145.91182122	1.11121725	0.75698147
5145.94096960	1.12106282	0.75008691
5145.97011814	1.12193141	0.75460187
5145.99914835	1.12054004	0.73857292
5146.02829722	1.13329071	0.69992786
5146.05744626	1.15253113	0.69635129
5146.08647697	1.15807073	0.68660511
5146.11562633	1.15559673	0.65072424
5146.14477586	1.16634845	0.68883641
5146.17392556	1.14533457	0.66383793
5146.20295693	1.12395920	0.64139673
5146.23210695	1.13796217	0.63469340
5146.26125714	1.13896303	0.58107502
5146.29040750	1.14341378	0.53422597
5146.31943952	1.13429541	0.62300745
5146.34859020	1.13736760	0.56916105
5146.37774105	1.16088995	0.50766766
5146.40689207	1.14619368	0.56263162
5146.43592475	1.13978914	0.57293637
5146.46507609	1.11048417	0.56024707
5146.49422760	1.12098137	0.56046356
5146.52337928	1.15416596	0.53888407
5146.55241262	1.12642250	0.56731558
5146.58156462	1.07102609	0.56154954
5146.61071679	1.05499192	0.58429972
5146.63975062	1.04996982	0.61674229
5146.66890312	1.07078575	0.55076875
5146.69805578	1.03884598	0.56974081
5146.72720861	1.01059413	0.57722072
5146.75624310	1.00049604	0.63213305
5146.78539626	1.01822100	0.64834322
5146.81454958	1.05147211	0.63338849
5146.84370307	1.06100003	0.64047286
5146.87273822	1.02246351	0.70015847
5146.90189204	0.99378383	0.71567370
5146.93104602	1.01769303	0.74567955
5146.96020017	1.06619237	0.71830679
5146.98923597	1.06798703	0.78224514
5147.01839045	1.10008201	0.83710127
5147.04754509	1.12504679	0.80928386
5147.07658139	1.12508960	0.80060339
5147.10573636	1.12888944	0.76324112
5147.13489150	1.12836072	0.81919275
5147.16404680	1.11667308	0.86082442
5147.19308375	1.14436217	0.83834007
5147.22223939	1.12722606	0.88124149
5147.25139519	1.12440879	0.83108802
5147.28055115	1.09580784	0.82003367
5147.30958876	1.10675760	0.86993303
5147.33874505	1.14957225	0.78583297
5147.36790151	1.14386683	0.77017453
5147.39705814	1.16728632	0.76843028
5147.42609640	1.16444177	0.74268350
5147.45525335	1.13265800	0.72955364
5147.48441047	1.12356581	0.74813116
5147.51356776	1.13381844	0.73105338
5147.54260668	1.14147189	0.73278961
5147.57176429	1.11043210	0.74659794
5147.60092207	1.10931977	0.70708151
5147.62996149	1.14161302	0.75735058
5147.65911960	1.12674923	0.77852203
5147.68827787	1.11844956	0.78338080
5147.71743631	1.10102572	0.75971895
5147.74647638	1.12194546	0.74034473
5147.77563515	1.13752078	0.76348175
5147.80479408	1.11496211	0.75527036
5147.83395318	1.11553460	0.76986036
5147.86299391	1.09124078	0.77998862
5147.89215334	1.08398363	0.73243003
5147.92131293	1.10657349	0.75101356
5147.95047269	1.08352037	0.77213446
5147.97951408	1.08141075	0.76206787
5148.00867417	1.09409150	0.81939833
5148.03783442	1.10838902	0.82902661
5148.06699484	1.10714157	0.80106230
5148.09603688	1.11619059	0.83539430
5148.12519763	1.14111174	0.86495409
5148.15435855	1.11548134	0.83891285
5148.18340108	1.12077752	0.85073541
5148.21256233	1.12053760	0.83122489
5148.24172374	1.11687566	0.88041059
5148.27088531	1.13255302	0.84976289
5148.29992850	1.13839096	0.87988519
5148.32909041	1.14885706	0.85359726
5148.35825248	1.15735031	0.84023572
5148.38741471	1.12590285	0.85328140
5148.41645856	1.11840669	0.78032910
5148.44562112	1.13807125	0.81232012
5148.47478385	1.12894121	0.81438752
5148.50394675	1.13344799	0.79263334
5148.53299126	1.15831181	0.79364972
5148.56215448	1.14867200	0.73497561
5148.59131787	1.15265188	0.78220256
5148.62036287	1.14445209	0.75990868
5148.64952659	1.13228498	0.80145444
5148.67869047	1.12476916	0.78726470
5148.70785452	1.11622896	0.77466492
5148.73690018	1.13997815	0.79171035
5148.76606456	1.14334982	0.77603029
5148.79522910	1.15298083	0.78185900
5148.82439381	1.13569278	0.76856466
5148.85344013	1.13651032	0.79692563
5148.88260517	1.13228824	0.77590359
5148.91177037	1.10653770	0.79218742
5148.94093574	1.10824847	0.78845628
5148.96998272	1.11947238	0.74861415
5148.99914842	1.13294798	0.72856146
5149.02831428	1.11250492	0.70854597
5149.05748031	1.08638243	0.69626009
5149.08652794	1.08980958	0.65726223
5149.11569430	1.09872505	0.66324200
5149.14486082	1.09095225	0.67936218
5149.17390895	1.07008570	0.65077378
5149.20307580	1.08015310	0.67448116
5149.23224282	1.05807156	0.68121823
5149.26141001	1.02935523	0.67627851
5149.29045879	1.03377907	0.67804000
5149.31962630	1.00364761	0.66135323
5149.34879398	1.01137043	0.68838553
5149.37796183	0.98218335	0.63386157
5149.40701127	0.93737011	0.63180799
5149.43617944	0.95221274	0.65680470
5149.46534778	0.96255195	0.63727586
5149.49451629	0.97260881	0.63409192
5149.52356638	1.00488300	0.61928582
5149.55273522	1.01374598	0.64656329
5149.58190422	0.99410824	0.63614251
5149.61107338	0.99183372	0.68868253
5149.64012414	0.99199566	0.69428610
5149.66929363	1.01315973	0.68408234
5149.69846329	1.02123001	0.75569072
5149.72751454	1.04070445	0.69689216
5149.75668453	1.05870557	0.66589976
5149.78585469	1.07601273	0.72324539
5149.81502501	1.09875289	0.71521873
5149.84407691	1.09435683	0.72810250
5149.87324756	1.12838299	0.70854303
